Class,Subject,Term,Medium,Tamil_Term,English_Term
Class 6,Maths,Term 1,Tamil,அடைவு பண்பு,Closure
Class 6,Maths,Term 1,Tamil,அமைப்பு,Pattern
Class 6,Maths,Term 1,Tamil,அலகு முறை,Unitary method
Class 6,Maths,Term 1,Tamil,அளவீடு,Measure
Class 6,Maths,Term 1,Tamil,அளவுகோ>ோல்,Ruler
Class 6,Maths,Term 1,Tamil,அளவுத்திட்்டம்,Scaling
Class 6,Maths,Term 1,Tamil,இடமதிப்பு அட்்டவணை,Place Value Chart
Class 6,Maths,Term 1,Tamil,இணை கோ>ோடுகள்,Parallel lines
Class 6,Maths,Term 1,Tamil,இயல் எண்்கள்,Natural Numbers
Class 6,Maths,Term 1,Tamil,இயற்்கணித கூற்று,Algebraic Statement
Class 6,Maths,Term 1,Tamil,இயற்்கணித கோ>ோவைகள்,Algebraic Expressions
Class 6,Maths,Term 1,Tamil,இரண்்டடாம் நிலை தகவல்,Secondary data
Class 6,Maths,Term 1,Tamil,இலக்்கங்்களின் இடமாற்்றம்,Interchanging Digits
Class 6,Maths,Term 1,Tamil,இலட்்சம்,Lakh
Class 6,Maths,Term 1,Tamil,இறங்குவரிசை,Descending order
Class 6,Maths,Term 1,Tamil,ஈவு,Quotient
Class 6,Maths,Term 1,Tamil,உண்்மமைகள்,Facts
Class 6,Maths,Term 1,Tamil,எண் அமைப்புகள்,Number patterns
Class 6,Maths,Term 1,Tamil,எதிர்்மமாறாக,Vice-versa
Class 6,Maths,Term 1,Tamil,ஏறுவரிசை,Ascending order
Class 6,Maths,Term 1,Tamil,ஒரு கோ>ோடமை புள்ளிகள்,Collinear points
Class 6,Maths,Term 1,Tamil,ஒருங்்கமை புள்ளிகள்,Points of concurrency
Class 6,Maths,Term 1,Tamil,கதிர்்கள்,Rays
Class 6,Maths,Term 1,Tamil,கிடைமட்்ட பட்்டடைகள்,Horizontal bars
Class 6,Maths,Term 1,Tamil,குறியீடு,Notation
Class 6,Maths,Term 1,Tamil,குறுங்கோணம்,Acute angle
Class 6,Maths,Term 1,Tamil,கோ>ோடி,Crore
Class 6,Maths,Term 1,Tamil,கோ>ோடுகள்,Lines
Class 6,Maths,Term 1,Tamil,கோ>ோட்டுத்துண்டு,Line segment
