Class,Subject,Term,Medium,Tamil_Term,English_Term,Needs_Human_Review
Class 6,Science,Term 3,English,தொசையற்்ச> >ோந்தம்,Artificial magnet,True
Class 6,Science,Term 3,English,>ோந்த ஈர்ப்பு,Magnetic attraction,True
Class 6,Science,Term 3,English,ஒட்டும்தொபோருள்>ள்,Adhesives,True
Class 6,Science,Term 3,English,>ோந்த விM>ல்,Magnetic repulsion,True
Class 6,Science,Term 3,English,கோசைோற்று >ற்்றோ்சழ,Aloe,True
Class 6,Science,Term 3,English,>ோந்த தன்்சமயற்்ற,Non – Magnetic,True
Class 6,Science,Term 3,English,தொபோருள்>ள்,substances,True
Class 6,Science,Term 3,English,உயிரி்னச் சி்சதவிற்கு,Bio degradable,True
Class 6,Science,Term 3,English,உள்ளோகும் >ழிவு>ள்,waste,True
Class 6,Science,Term 3,English,ெ்ட துருெம்,North pole,True
Class 6,Science,Term 3,English,உயிரி எரிதொபோருள்,Bio - fuel,True
Class 6,Science,Term 3,English,தொதன் துருெம்,South pole,True
Class 6,Science,Term 3,English,நு>ர்கோெோர்>ள்,Consumers,True
Class 6,Science,Term 3,English,இயற்்ச> நி்றங்>ோட்டி,Natural Indicator,True
Class 6,Science,Term 3,English,மட்கிய உரம்,Compost,True
Class 6,Science,Term 3,English,உயிரி்னச் சி்சதவிற்கு,Non Bio degradable,True
Class 6,Science,Term 3,English,உள்ளோ>ோத >ழிவு>ள்,waste,True
Class 6,Science,Term 3,English,தோனியம்,Cereal,True
Class 6,Science,Term 3,English,இயற்்ச>,Natural pesticides,True
Class 6,Science,Term 3,English,சி்சதப்போன்>ள்,Decomposers,True
Class 6,Science,Term 3,English,>்சளக்தொ>ோல்லி,Disinfectant,True
Class 6,Science,Term 3,English,கிருமி நோசினி,Organic fertilizer,True
Class 6,Science,Term 3,English,>ரிம உரம்,Electromagnet,True
Class 6,Science,Term 3,English,மின் >ோந்தம்,Ornamental Plant,True
Class 6,Science,Term 3,English,தோெரங்>ள்,Estuary,True
Class 6,Science,Term 3,English,மு>ததுெோரம்,Producers,True
Class 6,Science,Term 3,English,தயோரிப்போளர்>ள்,Ecosystem,True
Class 6,Science,Term 3,English,சூழ்நி்சM மண்்டMம்,Pollution,True
Class 6,Science,Term 3,English,மோசுபோடு,Food Chain,True
Class 6,Science,Term 3,English,உணவுச் சைங்கிலி,Pulses,True
Class 6,Science,Term 3,English,பருப்பு ெ்ச>>ள்,Food web,True
Class 6,Science,Term 3,English,உணவு ெ்சM,Pollinators,True
Class 6,Science,Term 3,English,ம>ரந்தச்,Ground water,True
Class 6,Science,Term 3,English,கோசைர்க்்ச>யோளர்>ள்,Herbivore,True
Class 6,Science,Term 3,English,தோெர உண்ணி,Surface water,True
Class 6,Science,Term 3,English,கோமற்பரப்பு நீர்,Hard wood,True
Class 6,Science,Term 3,English,ென்>ட்்ச்ட,Synthetic,True
Class 6,Science,Term 3,English,தொசையற்்ச>,Incinerate,True
Class 6,Science,Term 3,English,எரிததுச்,Swamp,True
Class 6,Science,Term 3,English,சைோம்பMோக்குதல்,Soft wood,True
Class 6,Science,Term 3,English,தொமன்>ட்்ச்ட,Inorganic fertilizer,True
Class 6,Science,Term 3,English,>னிம உரம்,Spices,True
Class 6,Science,Term 3,English,மசைோMோப் தொபோருள்>ள்,Land Fill,True
Class 6,Science,Term 3,English,நிMததில் நிரப்புதல்,Turmeric Powder,True
Class 6,Science,Term 3,English,மஞ்சைள் தூள்,Like poles,True
Class 6,Science,Term 3,English,ஒதத துருெங்>ள்,Timber,True
