Class,Subject,Term,Medium,Tamil_Term,English_Term,Needs_Human_Review
Class 8,Science,Full Year,English,அமிலம்,Acid,True
Class 8,Science,Full Year,English,காடு அழிப்பு,Deforestation,True
Class 8,Science,Full Year,English,அமிலமழை,Acid rain,True
Class 8,Science,Full Year,English,அடர்த்தி,Density,True
Class 8,Science,Full Year,English,வளர் இளம் பருவம்,Adolescence,True
Class 8,Science,Full Year,English,படிதல்,Deposition,True
Class 8,Science,Full Year,English,காடுவளர்ப்பு,Afforestation,True
Class 8,Science,Full Year,English,பரிமாணஙகள்,Dimensions,True
Class 8,Science,Full Year,English,வேளாண்மை,Agriculture,True
Class 8,Science,Full Year,English,மின்னிறக்கக்குழாய்,Discharge tube,True
Class 8,Science,Full Year,English,உழவியல்,Agronomy,True
Class 8,Science,Full Year,English,புவித்தொடுப்பு,Earthing,True
Class 8,Science,Full Year,English,உணவுப் பாதை,Alimentary canal,True
Class 8,Science,Full Year,English,மின்புலம்,Electric field,True
Class 8,Science,Full Year,English,வீச்சு,Amplitude,True
Class 8,Science,Full Year,English,மினனழுத்தம்,Electric potential,True
Class 8,Science,Full Year,English,நேர்மினவாய்,Anode,True
Class 8,Science,Full Year,English,மின்னிறக்கம்,Electrical discharge,True
Class 8,Science,Full Year,English,அமிலநீக்கி,Antacid,True
Class 8,Science,Full Year,English,மினனாறபகுத்தல்,Electrolysis,True
Class 8,Science,Full Year,English,செயற்கை நிறஙகாட்டி,Artificial Indicator,False
Class 8,Science,Full Year,English,மின்முலாம் பூசுதல்,Electroplating,True
Class 8,Science,Full Year,English,செயற்கை சுவாசம்,Artificial respiration,True
Class 8,Science,Full Year,English,ஆபத்தான இனஙகள்,Endangered species,False
Class 8,Science,Full Year,English,விண்வெளி வீரர்,Astronaut,True
Class 8,Science,Full Year,English,நாளமில்லா சுரப்பிகள்,Endocrine glands,False
Class 8,Science,Full Year,English,மினகடத்தாப் ப�ொருள்,Bad conductor,True
Class 8,Science,Full Year,English,உள் எலும்புக்கூடு,Endoskeleton,True
Class 8,Science,Full Year,English,சரிவிகித உணவு,Balanced diet,True
Class 8,Science,Full Year,English,உரம்,Fertilizer,True
Class 8,Science,Full Year,English,காரம்,Base,True
Class 8,Science,Full Year,English,கசையிைழ,Flagellum,True
Class 8,Science,Full Year,English,உயிரி டீசல்,Bio Diesel,True
Class 8,Science,Full Year,English,இலையில் தெளிப்பு,Foliar spray,True
Class 8,Science,Full Year,English,உயிர்உரம்,Bio fertilizer,True
Class 8,Science,Full Year,English,உறைநிலை,Freezing point,True
Class 8,Science,Full Year,English,உயிரி பூச்சிக்கொல்லி,Bio pesticide,True
Class 8,Science,Full Year,English,உராய்வு,Friction,True
Class 8,Science,Full Year,English,உயிரி க�ொன்றுண்ணிகள்,Bio pradators,False
Class 8,Science,Full Year,English,எரிப�ொருள்,Fuel,True
Class 8,Science,Full Year,English,ளம்,Biosphere,True
Class 8,Science,Full Year,English,மின்உருகு இழை,Fuse,True
Class 8,Science,Full Year,English,க�ொதிநிலை,Boiling point,True
Class 8,Science,Full Year,English,விண்மீன்திரள்,Galaxy,True
Class 8,Science,Full Year,English,எலும்பு மஜ்ைஜ,Bone marrow,True
Class 8,Science,Full Year,English,புவி வடமுனை,Geographic north,True
Class 8,Science,Full Year,English,தாவரவியல் பூஙகா,Botanical garden,True
Class 8,Science,Full Year,English,புவியியல்,Geological,True
Class 8,Science,Full Year,English,குருத்தெலும்பு,Cartilages,True
Class 8,Science,Full Year,English,புவி வெப்ப ப்பமயமாதல்,Global warming,True
